,brand,year,mileage,price(USD)
0,BMW,2011,235000,6732.0
1,Volkswagen,2011,92800,6808.23
2,SEAT,2011,149300,6831.0
3,Renault,2011,96200,6880.5
4,Peugeot,2011,156000,6880.5
5,Toyota,2011,147000,6880.5
6,Renault,2011,91894,6900.3
7,Opel,2011,127500,6902.28
8,Mazda,2011,115000,6910.2
9,Ford,2011,104,6920.1
10,Opel,2011,59580,6920.1
11,Volkswagen,2011,84000,6920.1
12,Mercedes-Benz,2011,427000,6920.1
13,Chevrolet,2011,109000,6920.1
14,Audi,2011,194020,6929.01
15,Volkswagen,2011,72000,6929.01
16,Renault,2011,190000,6929.01
17,Renault,2011,190000,6929.01
18,Fiat,2011,85700,6929.01
19,Opel,2011,82000,6930.0
20,Kia,2012,44800,7771.5
21,Volkswagen,2012,81970,7771.5
22,Dacia,2012,24000,7821.0
23,Volkswagen,2012,193333,7821.0
24,Volkswagen,2012,113000,7821.0
25,Volkswagen,2012,117000,7869.51
26,BMW,2012,299900,7870.5
27,Opel,2012,104250,7870.5
28,Peugeot,2012,151250,7870.5
29,BMW,2012,133500,7900.2
30,Opel,2012,105000,7900.2
31,Ford,2012,114164,7910.1
32,MINI,2012,128000,7910.1
33,BMW,2012,150000,7919.01
34,MINI,2012,160000,7919.01
35,Mercedes-Benz,2012,165000,7920.0
36,Renault,2012,51200,7920.0
37,Opel,2012,107000,7920.0
38,MINI,2012,130000,7920.0
39,BMW,2012,214000,8117.01
40,Opel,2013,73760,8900.1
41,Volkswagen,2013,113000,8900.1
42,Hyundai,2013,108803,8900.1
43,Opel,2013,7400,8900.1
44,BMW,2013,239211,8900.1
45,Ford,2013,86980,8905.05
46,Volkswagen,2013,98000,8909.01
47,Ford,2013,98988,8909.01
48,Opel,2013,41124,8909.01
49,Volkswagen,2013,170000,8909.01
50,Kia,2013,240000,8910.0
51,BMW,2013,80500,8910.0
52,Ford,2013,195327,8910.0
53,Volkswagen,2013,143316,8910.0
54,SEAT,2013,98100,9009.0
55,Audi,2013,113000,9009.0
56,Volkswagen,2013,94000,9108.0
57,Chevrolet,2013,68700,9197.1
58,Toyota,2013,169500,9207.0
59,Volkswagen,2013,77000,9207.0
60,Ford,2014,45600,8900.1
61,Opel,2014,230000,8900.1
62,Volkswagen,2014,99756,8900.1
63,Toyota,2014,84600,8900.1
64,Hyundai,2014,73000,8900.1
65,Volkswagen,2014,133180,8900.1
66,Volkswagen,2014,22700,8900.1
67,Skoda,2014,53000,8909.01
68,BMW,2014,149786,8909.01
69,Volkswagen,2014,197500,8909.01
70,Kia,2014,57000,8910.0
71,Skoda,2014,53286,9009.0
72,Toyota,2014,84721,9108.0
73,Audi,2014,111000,9108.0
74,SEAT,2014,87500,9197.1
75,Skoda,2014,55000,9207.0
76,Volkswagen,2014,77000,9207.0
77,Volkswagen,2014,166000,9306.0
78,Ford,2014,55000,9355.5
79,Volkswagen,2015,140000,9890.1
80,Ford,2015,160000,9899.01
81,Audi,2015,240000,9899.01
82,Opel,2015,28238,10088.1
83,Opel,2015,114327,10098.0
84,Peugeot,2015,352000,10195.02
85,Volkswagen,2015,80575,10196.01
86,Ford,2015,79987,10339.56
87,Skoda,2015,166554,10385.1
88,Ford,2015,47295,10385.1
89,Opel,2015,90000,10394.01
90,Citroen,2015,76800,10474.2
91,Peugeot,2015,60000,10642.5
92,Hyundai,2015,9500,10642.5
93,Infiniti,2015,248000,10791.0
94,Volkswagen,2015,118000,10840.5
95,Volkswagen,2015,87000,10840.5
96,BMW,2015,137000,10840.5
97,Suzuki,2016,29000,8900.1
98,Volkswagen,2016,198000,8909.01
99,SsangYong,2016,192000,8909.01
100,Dacia,2016,15000,8910.0
101,Mazda,2016,57800,9157.5
102,Ford,2016,86900,9286.2
103,Volkswagen,2016,56617,9345.6
104,Toyota,2016,70604,9395.1
105,Toyota,2016,68656,9395.1
106,Toyota,2016,64783,9395.1
107,Opel,2016,146148,9400.05
108,Opel,2016,106300,9404.01
109,Volkswagen,2016,179200,9404.01
110,Opel,2016,63000,9405.0
111,Peugeot,2016,154494,9405.0
112,Suzuki,2016,72500,9553.5
113,Opel,2016,93300,9583.2
114,Opel,2016,96999,9593.1
115,Kia,2016,39990,9593.1
116,Audi,2017,66106,20780.1
117,Kia,2017,68000,27648.72
118,Mercedes-Benz,2017,67000,34551.0
119,Audi,2017,55000,34555.95
120,Mercedes-Benz,2017,32100,37551.69
121,smart,2017,74000,5499.45
122,SEAT,2017,31500,5722.2
123,SEAT,2017,62490,6326.1
124,Volkswagen,2017,100870,6380.55
125,Skoda,2017,35450,6380.55
126,Volkswagen,2017,65635,6425.1
127,Toyota,2017,83000,6435.0
128,Dacia,2017,35000,6633.0
129,Volkswagen,2017,35093,6682.5
130,Fiat,2017,66000,6731.01
131,Hyundai,2017,61000,6831.0
132,Ford,2017,118759,6920.1
133,smart,2017,31500,6929.01
134,Ford,2017,77403,7019.1
135,Audi,2018,66990,31561.2
136,Audi,2018,73500,31660.2
137,Audi,2018,59990,32610.6
138,Mercedes-Benz,2018,79300,34427.25
139,Audi,2018,46300,34541.1
140,Audi,2018,54496,35125.2
141,Volkswagen,2018,51878,35135.1
142,Cupra,2018,13400,35630.1
143,Volkswagen,2018,85200,37323.0
144,Audi,2018,49900,37570.5
145,Audi,2018,39580,39049.56
146,Audi,2018,49394,42055.2
147,Audi,2018,81750,42248.25
148,Audi,2018,68900,43461.0
149,Audi,2018,72500,44005.5
150,Audi,2018,109590,44401.5
151,BMW,2018,28650,44530.2
152,Audi,2018,93390,44534.159999999996
153,Volvo,2018,60188,45530.1
154,BMW,2018,52070,46421.1
155,Ford,2019,13710,26215.2
156,Audi,2019,27949,26611.2
157,Ford,2019,22500,26611.2
158,BMW,2019,57501,26700.3
159,Volkswagen,2019,34450,26710.2
160,Volkswagen,2019,35950,27165.6
161,Audi,2019,12178,27165.6
162,Volkswagen,2019,41365,27215.1
163,Mercedes-Benz,2019,31900,27324.0
164,Audi,2019,45700,27700.2
165,SEAT,2019,9243,27967.5
166,Ford,2019,8650,28690.2
167,Skoda,2019,17615,28700.1
168,Mercedes-Benz,2019,4016,28819.89
169,Ford,2019,9290,29680.2
170,Ford,2019,8650,29680.2
171,SEAT,2019,22900,29690.1
172,Audi,2019,2955,29694.06
173,Ford,2019,1060,30147.48
174,BMW,2019,27500,30368.25
175,Audi,2020,23490,58845.6
176,Audi,2020,19000,59251.5
177,Audi,2020,31420,59385.15
178,Audi,2020,23402,64236.15
179,Jaguar,2020,3850,64251.0
180,Audi,2020,11650,65231.1
181,Porsche,2020,11100,65241.0
182,Volkswagen,2020,25300,66072.6
183,Audi,2020,23490,66122.1
184,Audi,2020,999,66221.1
185,Audi,2020,22500,67161.6
186,Audi,2020,8200,69191.1
187,Audi,2020,11700,69191.1
188,Audi,2020,18150,69280.2
189,Volkswagen,2020,19950,70270.2
190,Audi,2020,16800,81071.1
191,Audi,2020,41100,81071.1
192,Audi,2020,29150,81071.1
193,Audi,2020,28400,83051.1
194,Fiat,2021,100,10494.0
195,Fiat,2021,15,10573.2
196,Toyota,2021,20,10714.77
197,Fiat,2021,15,10870.2
198,Fiat,2021,15,10870.2
199,Toyota,2021,10,10887.03
200,Toyota,2021,9,11375.1
201,Toyota,2021,9,11375.1
202,Toyota,2021,9,11375.1
203,Hyundai,2021,100,11384.01
204,Toyota,2021,10,11672.1
205,Kia,2021,10,11830.5
206,Toyota,2021,10,11870.1
207,Toyota,2021,10,11870.1
208,Toyota,2021,10,11870.1
209,Toyota,2021,10,11870.1
210,Toyota,2021,10,11870.1
211,Toyota,2021,10,11870.1
212,Toyota,2021,10,11870.1
213,Toyota,2021,10,11870.1
214,Volkswagen,2011,132500,7722.0
215,Volkswagen,2011,132500,7722.0
216,Peugeot,2011,69019,7771.5
217,Ford,2011,123600,7806.15
218,Opel,2011,95963,7821.0
219,Nissan,2011,71908,7821.0
220,Kia,2011,93510,7821.0
221,Volkswagen,2011,131322,7821.0
222,Volkswagen,2011,228000,7821.0
223,Honda,2011,61999,7869.51
224,Volkswagen,2011,87216,7890.3
225,Ford,2011,120600,7890.3
226,Volkswagen,2011,119850,7910.1
227,Volkswagen,2011,154500,7910.1
228,Renault,2011,92800,7910.1
229,Volkswagen,2011,118210,7910.1
230,Opel,2011,86000,7918.0199999999995
231,Toyota,2011,24170,7919.01
232,Volkswagen,2011,188758,7919.01
233,Volkswagen,2011,107001,7919.01
234,Ford,2012,81179,7821.0
235,Toyota,2012,98669,7821.0
236,Skoda,2012,86747,7821.0
237,Skoda,2012,147500,7821.0
238,Toyota,2012,140000,7870.5
239,Volkswagen,2012,89400,7900.2
240,Skoda,2012,100000,7900.2
241,Opel,2012,14300,7910.1
242,Opel,2012,102000,7910.1
243,Renault,2012,93850,7910.1
244,SEAT,2012,98600,7910.1
245,Ford,2012,123000,7910.1
246,Toyota,2012,70600,7910.1
247,Kia,2012,35300,7910.1
248,Volkswagen,2012,128000,7910.1
249,Volkswagen,2012,91000,7910.1
250,Hyundai,2012,100000,7919.01
251,Toyota,2012,105531,7919.01
252,Volkswagen,2012,110405,7919.01
253,BMW,2012,261000,7920.0
254,Toyota,2013,82822,8415.0
255,Skoda,2013,35000,8415.0
256,Citroen,2013,148000,8415.0
257,Opel,2013,44700,8415.0
258,Mazda,2013,77820,8464.5
259,Ford,2013,31000,8592.21
260,Volkswagen,2013,46000,8612.01
261,Ford,2013,50000,8612.01
262,Peugeot,2013,75800,8613.0
263,Suzuki,2013,122450,8613.0
264,Opel,2013,54689,8652.6
265,Honda,2013,98000,8702.1
266,Honda,2013,55135,8712.0
267,Hyundai,2013,53998,8791.2
268,Peugeot,2013,76796,8796.15
269,Skoda,2013,84000,8799.12
270,Skoda,2013,48795,8810.01
271,Opel,2013,85320,8811.0
272,Toyota,2013,118070,8811.0
273,Kia,2013,59100,8811.0
274,Opel,2014,85183,8809.02
275,Volkswagen,2014,53795,8811.0
276,Citroen,2014,74450,8811.0
277,Volkswagen,2014,167000,8860.5
278,Volkswagen,2014,182150,8890.2
279,Peugeot,2014,68067,8895.15
280,Ford,2014,49252,8900.1
281,Opel,2014,124800,8900.1
282,Ford,2014,91784,8900.1
283,Renault,2014,82500,8900.1
284,Hyundai,2014,98000,8900.1
285,Kia,2014,34100,8900.1
286,Honda,2014,120500,8900.1
287,Renault,2014,27241,8900.1
288,Ford,2014,90173,8900.1
289,Renault,2014,54210,8900.1
290,Peugeot,2014,123559,8905.05
291,Citroen,2014,81430,8909.01
292,SEAT,2014,73000,8910.0
293,Chevrolet,2014,56700,8910.0
294,Skoda,2015,68220,8811.0
295,Opel,2015,62665,8860.5
296,Volkswagen,2015,172000,8900.1
297,Skoda,2015,53000,8900.1
298,Ford,2015,175488,8900.1
299,Dacia,2015,102690,8900.1
300,Renault,2015,49249,8900.1
301,Kia,2015,30100,8900.1
302,Kia,2015,69120,8900.1
303,Skoda,2015,53000,8900.1
304,Skoda,2015,285000,8910.0
305,Fiat,2015,98540,9108.0
306,Renault,2015,87200,9157.5
307,smart,2015,20000,9206.01
308,Nissan,2015,57596,9345.6
309,Ford,2015,51833,9345.6
310,Peugeot,2015,43693,9355.5
311,Dacia,2015,109750,9355.5
312,Volkswagen,2015,88900,9355.5
313,Renault,2016,33000,8410.05
314,Renault,2016,36300,8414.01
315,Renault,2016,36300,8414.01
316,Renault,2016,36210,8414.01
317,Opel,2016,101850,8603.1
318,Citroen,2016,13832,8603.1
319,SEAT,2016,49950,8603.1
320,Opel,2016,98700,8682.3
321,Mercedes-Benz,2016,190543,8711.01
322,SEAT,2016,80000,8712.0
323,Ford,2016,109859,8751.6
324,Skoda,2016,82000,8761.5
325,Renault,2016,68300,8761.5
326,Skoda,2016,57644,8761.5
327,Opel,2016,110412,8791.2
328,Nissan,2016,34955,8791.2
329,Opel,2016,149889,8801.1
330,Volkswagen,2016,138965,8801.1
331,Skoda,2016,69934,8801.1
332,Volkswagen,2016,113000,8811.0
333,Hyundai,2017,3070,7870.5
334,Peugeot,2017,60300,7870.5
335,Ford,2017,79883,7905.15
336,Nissan,2017,36955,7910.1
337,Hyundai,2017,24162,7910.1
338,Skoda,2017,78588,7910.1
339,Renault,2017,63200,7910.1
340,Nissan,2017,68753,7910.1
341,Toyota,2017,29731,7910.1
342,Renault,2017,29712,7910.1
343,Skoda,2017,45401,7910.1
344,Ford,2017,42341,7910.1
345,Toyota,2017,68360,7910.1
346,Renault,2017,28864,7915.05
347,Lada,2017,52753,7920.0
348,Mitsubishi,2017,42000,7920.0
349,Ford,2017,46073,8009.1
350,Toyota,2017,16000,8019.0
351,Fiat,2017,27547,8108.1
352,Fiat,2017,28323,8108.1
353,Volkswagen,2018,6761,19295.1
354,Skoda,2018,44626,19740.6
355,Honda,2018,35000,19750.5
356,Mitsubishi,2018,23100,21275.1
357,Opel,2018,29658,21463.2
358,Volkswagen,2018,86886,24620.31
359,Jaguar,2018,47000,24700.5
360,Skoda,2018,37076,27611.1
361,Volkswagen,2018,51136,28492.2
362,Volkswagen,2018,32900,29690.1
363,Audi,2018,26890,41411.7
364,Dacia,2018,62302,4653.0
365,Others,2018,3500,5445.0
366,Fiat,2018,84000,5930.1
367,Mitsubishi,2018,17896,6425.1
368,Volkswagen,2018,78000,6425.1
369,Opel,2018,191533,6654.78
370,Skoda,2018,84800,6781.5
371,Volkswagen,2018,62608,6860.7
372,Mercedes-Benz,2019,8100,45431.1
373,Audi,2019,50307,45490.5
374,Mercedes-Benz,2019,26493,46309.23
375,Lexus,2019,70500,47015.1
376,Audi,2019,14584,48371.4
377,Mercedes-Benz,2019,60548,48487.23
378,Volvo,2019,7441,49490.1
379,Audi,2019,34444,51460.2
380,Volkswagen,2019,24350,55885.5
381,Volkswagen,2019,15690,61330.5
382,Volvo,2019,2300,64152.0
383,Mercedes-Benz,2019,12100,66221.1
384,Volkswagen,2019,28744,74240.1
385,Volkswagen,2019,14500,77125.95
386,Jaguar,2019,8770,79180.2
387,Ford,2020,23864,12840.3
388,Ford,2020,25885,12850.2
389,Renault,2020,5,12865.05
390,Ford,2020,19990,13196.7
391,SEAT,2020,2438,13810.5
392,SEAT,2020,50,14345.1
393,Ford,2020,18805,14840.1
394,Ford,2020,9990,15335.1
395,Ford,2020,18365,15632.1
396,Ford,2020,23560,15721.2
397,Ford,2020,9990,15810.3
398,Ford,2020,6315,16285.5
399,Mazda,2020,4246,16711.2
400,Ford,2020,11570,19196.1
401,Ford,2020,7360,19592.1
402,Ford,2020,5050,19770.3
403,Ford,2020,8125,19790.1
404,Ford,2020,50,19790.1
405,Ford,2020,5050,20181.15
406,smart,2011,135000,3900.6
407,Opel,2011,234730,3909.5099999999998
408,Hyundai,2011,42571,3910.5
409,Volkswagen,2011,368777,3910.5
410,Ford,2011,130274,3910.5
411,Hyundai,2011,107517,3910.5
412,Skoda,2011,199726,3940.2
413,Ford,2011,178304,3950.1
414,Hyundai,2011,213990,3950.1
415,Hyundai,2011,103000,3950.1
416,Opel,2011,416000,3950.1
417,Nissan,2011,104500,3950.1
418,Renault,2011,169500,3950.1
419,Hyundai,2011,43000,3950.1
420,Fiat,2011,51174,3950.1
421,Opel,2011,199000,3959.0099999999998
422,smart,2011,110000,3959.0099999999998
423,Peugeot,2011,99121,3959.0099999999998
424,Ford,2011,202000,3959.0099999999998
425,smart,2012,93000,4747.05
426,Ford,2012,131663,4751.01
427,Volkswagen,2012,137500,4752.0
428,Peugeot,2012,122600,4752.0
429,Volkswagen,2012,81698,4755.96
430,Opel,2012,87000,4801.5
431,Kia,2012,89000,4821.3
432,Renault,2012,26147,4841.1
433,Toyota,2012,81500,4850.01
434,Ford,2012,119600,4851.0
435,Hyundai,2012,153289,4851.0
436,Skoda,2012,322418,4851.0
437,Ford,2012,52000,4851.0
438,Ford,2012,56000,4851.0
439,Audi,2012,276000,4851.0
440,Ford,2012,215000,4851.0
441,Fiat,2012,159999,4851.0
442,Toyota,2012,81000,4851.0
443,SEAT,2012,120185,4898.5199999999995
444,SEAT,2012,116000,4900.5
445,Ford,2013,99000,4949.01
446,Kia,2013,175000,4949.01
447,Fiat,2013,74415,4949.01
448,Hyundai,2013,42000,4949.01
449,Kia,2013,85571,4950.0
450,Mercedes-Benz,2013,473000,4950.0
451,Ford,2013,68900,5049.0
452,Skoda,2013,73350,5128.2
453,Ford,2013,124000,5148.0
454,Opel,2013,162300,5148.0
455,Toyota,2013,38220,5148.0
456,Kia,2013,109500,5148.0
457,Citroen,2013,115000,5148.0
458,SEAT,2013,94000,5148.0
459,Dacia,2013,74000,5148.0
460,Kia,2013,150000,5148.0
461,Ford,2013,58200,5148.0
462,Kia,2013,150000,5148.0
463,Ford,2013,78000,5197.5
464,Dacia,2013,95000,5197.5
465,Ford,2015,50500,5930.1
466,smart,2015,50531,5930.1
467,Mitsubishi,2015,55650,5930.1
468,SEAT,2015,42000,5930.1
469,SEAT,2015,174418,5930.1
470,Ford,2015,179850,5939.01
471,Ford,2015,54777,5939.01
472,Skoda,2015,37200,5940.0
473,smart,2015,45000,5940.0
474,Fiat,2015,93000,5940.0
475,Skoda,2015,118000,5940.0
476,Hyundai,2015,100000,6118.2
477,Nissan,2015,79100,6137.01
478,Skoda,2015,87370,6137.01
479,Fiat,2015,157300,6138.0
480,Renault,2015,61880,6138.0
481,Nissan,2015,45000,6138.0
482,Mitsubishi,2015,36018,6159.78
483,Ford,2015,132000,6187.5
484,Opel,2015,77559,6227.1
485,Ford,2016,42000,13652.1
486,BMW,2016,147000,13859.01
487,Opel,2016,88250,14246.1
488,Opel,2016,106000,14602.5
489,Opel,2016,46100,14800.5
490,Opel,2016,52500,15097.5
491,BMW,2016,142000,16325.1
492,Volkswagen,2016,38500,16335.0
493,Ford,2016,136498,18265.5
494,Audi,2016,112300,18265.5
495,Ford,2016,12600,19701.0
496,BMW,2016,210000,19701.0
497,Mercedes-Benz,2016,9350,19750.5
498,Mercedes-Benz,2016,34300,20690.01
499,BMW,2016,139500,21483.0
500,Audi,2016,133500,22126.5
501,BMW,2016,93500,23759.01
502,BMW,2016,93500,23759.01
503,BMW,2016,188500,24254.01
504,Volkswagen,2016,98500,28561.5
505,Mercedes-Benz,2017,16500,30579.12
506,Mercedes-Benz,2017,67500,30579.12
507,Ford,2017,49000,30591.0
508,Mercedes-Benz,2017,49500,30977.1
509,Mercedes-Benz,2017,59658,31172.13
510,Ford,2017,27000,31373.1
511,Volvo,2017,53501,31580.01
512,Mercedes-Benz,2017,67000,31581.0
513,Mercedes-Benz,2017,50000,32339.34
514,Ford,2017,27491,32571.0
515,Audi,2017,45000,32571.0
516,Mercedes-Benz,2017,71494,32650.2
517,Volvo,2017,36977,32947.2
518,Volvo,2017,22181,33254.1
519,Audi,2017,29973,33313.5
520,Volvo,2017,86900,33411.51
521,Audi,2017,86419,33580.8
522,Audi,2017,113000,33650.1
523,Volvo,2017,43990,34412.4
524,Mercedes-Benz,2017,38951,36125.1
525,Cupra,2018,32000,33561.0
526,Mercedes-Benz,2018,125000,33640.2
527,BMW,2018,51050,33650.1
528,Audi,2018,87107,34056.0
529,Audi,2018,27586,34243.11
530,Audi,2018,74426,34471.8
531,Audi,2018,87582,34471.8
532,Mercedes-Benz,2018,54000,34551.0
533,Volvo,2018,107496,34630.2
534,Ford,2018,45726,34640.1
535,Ford,2018,18202,34640.1
536,Audi,2018,99862,35382.6
537,Volvo,2018,36605,35629.11
538,Volvo,2018,32950,36085.5
539,Audi,2018,84689,36184.5
540,Mercedes-Benz,2018,30797,36402.3
541,Volkswagen,2018,42109,36511.2
542,Mercedes-Benz,2018,23123,36511.2
543,Audi,2018,10827,36531.0
544,Audi,2018,33000,36531.0
545,Volkswagen,2019,10197,27205.2
546,Hyundai,2019,10,27393.3
547,Volkswagen,2019,15243,27611.1
548,Audi,2019,15500,27660.6
549,Ford,2019,14900,27670.5
550,Mercedes-Benz,2019,26175,27710.1
551,Toyota,2019,15000,27710.1
552,Hyundai,2019,14355,27711.09
553,Renault,2019,28458,28116.989999999998
554,Volkswagen,2019,34464,28165.5
555,Volkswagen,2019,22422,28195.2
556,Kia,2019,5,28304.1
557,Kia,2019,28933,28403.1
558,Ford,2019,20302,28423.89
559,Volkswagen,2019,17894,28430.82
560,Audi,2019,9900,28462.5
561,Audi,2019,8191,28561.5
562,Volkswagen,2019,13399,28581.3
563,Ford,2019,10193,28660.5
564,Ford,2019,25929,28700.1
565,Ford,2020,17908,20542.5
566,Ford,2020,3437,20542.5
567,Renault,2020,4600,20572.2
568,Mazda,2020,10,20582.1
569,SEAT,2020,14700,20621.7
570,Volkswagen,2020,9466,20691.0
571,Opel,2020,5962,20740.5
572,Ford,2020,7300,20740.5
573,Ford,2020,10,20740.5
574,Renault,2020,3800,20770.2
575,Ford,2020,3078,20789.01
576,Ford,2020,3352,21007.8
577,Hyundai,2020,10,21037.5
578,Ford,2020,2585,21085.02
579,Ford,2020,2248,21235.5
580,Ford,2020,29,21275.1
581,Ford,2020,18595,21275.1
582,Ford,2020,9306,21283.02
583,Hyundai,2020,10,21324.6
584,SEAT,2020,6500,21334.5
585,Hyundai,2021,5,36501.3
586,Hyundai,2021,10,36620.1
587,Hyundai,2021,10,37174.5
588,Hyundai,2021,5,37590.3
589,Hyundai,2021,5,37590.3
590,Volkswagen,2021,125,37600.2
591,Volkswagen,2021,125,37600.2
592,Hyundai,2021,18,37608.12
593,Hyundai,2021,10,38003.13
594,Hyundai,2021,10,38055.6
595,Ford,2021,12,39451.5
596,Jeep,2021,5,39491.1
597,Hyundai,2021,12,39588.12
598,Cupra,2021,2900,39590.1
599,Cupra,2021,2500,39590.1
600,Cupra,2021,1500,40094.01
601,Opel,2021,2500,40372.2
602,Peugeot,2021,2222,40431.6
603,Ford,2021,10,40441.5
604,Citroen,2021,10,40481.1
605,Renault,2011,177000,3950.1
606,Ford,2011,177000,3959.0099999999998
607,smart,2011,110000,3959.0099999999998
608,Peugeot,2011,83223,3959.0099999999998
609,Renault,2011,69000,3959.0099999999998
610,Opel,2011,162300,3959.0099999999998
611,Mercedes-Benz,2011,144000,3959.0099999999998
612,Suzuki,2011,46850,3959.0099999999998
613,Hyundai,2011,168000,3959.0099999999998
614,Volkswagen,2011,500000,3959.0099999999998
615,Opel,2011,181701,3959.0099999999998
616,SEAT,2011,99800,3960.0
617,Citroen,2011,145000,3960.0
618,Hyundai,2011,54071,4058.0099999999998
619,Suzuki,2011,176000,4158.0
620,Peugeot,2011,30500,4158.0
621,Skoda,2011,434000,4158.0
622,Fiat,2011,306000,4158.0
623,Fiat,2011,62000,4158.0
624,Hyundai,2012,144134,4445.1
625,Fiat,2012,130000,4445.1
626,Hyundai,2012,43000,4445.1
627,Volkswagen,2012,264038,4445.1
628,Renault,2012,79000,4445.1
629,Nissan,2012,77709,4445.1
630,Peugeot,2012,110474,4454.01
631,Peugeot,2012,168000,4454.01
632,Opel,2012,79500,4454.01
633,Ford,2012,75000,4454.01
634,Kia,2012,90000,4454.01
635,Opel,2012,98789,4454.01
636,Volkswagen,2012,90000,4455.0
637,Opel,2012,207000,4455.0
638,Skoda,2012,153000,4455.0
639,Opel,2012,148000,4455.0
640,Opel,2012,65500,4455.0
641,Volkswagen,2012,117000,4455.0
642,Opel,2012,167500,4455.0
643,Renault,2012,61700,4455.0
644,Kia,2013,97000,4940.1
645,Mitsubishi,2013,75000,4949.01
646,Renault,2013,155000,4949.01
647,Renault,2013,155000,4949.01
648,Kia,2013,175000,4949.01
649,Skoda,2013,124600,4949.01
650,Fiat,2013,74415,4949.01
651,Hyundai,2013,42000,4949.01
652,Opel,2013,109000,5098.5
653,Ford,2013,240000,5098.5
654,Kia,2013,129073,5147.01
655,Toyota,2013,38220,5148.0
656,Renault,2013,77220,5148.0
657,Skoda,2013,235000,5197.5
658,Fiat,2013,122500,5247.0
659,Renault,2013,74000,5247.0
660,SEAT,2013,98000,5247.0
661,Opel,2013,96000,5247.0
662,Chevrolet,2013,160000,5247.0
663,Toyota,2013,197000,5247.0
664,Nissan,2014,129000,5544.0
665,Opel,2014,108900,5593.5
666,Skoda,2014,36000,5593.5
667,Fiat,2014,50130,5623.2
668,smart,2014,53196,5643.0
669,Skoda,2014,125000,5643.0
670,Skoda,2014,106700,5652.9
671,Skoda,2014,90000,5692.5
672,Opel,2014,32000,5692.5
673,Opel,2014,32000,5692.5
674,Fiat,2014,33000,5692.5
675,SEAT,2014,70400,5732.1
676,Dacia,2014,63000,5732.1
677,Opel,2014,47765,5732.1
678,Peugeot,2014,45000,5741.01
679,Ford,2014,102900,5741.01
680,Ford,2014,97333,5742.0
681,SEAT,2014,95000,5742.0
682,Fiat,2014,95000,5742.0
683,Volkswagen,2014,93651,5742.0
684,Hyundai,2015,55299,5884.56
685,Volkswagen,2015,53800,5930.1
686,SEAT,2015,53000,5930.1
687,Peugeot,2015,22600,5930.1
688,SEAT,2015,125000,5930.1
689,Skoda,2015,64000,5930.1
690,Volkswagen,2015,278000,5930.1
691,Renault,2015,55000,5930.1
692,Volkswagen,2015,38000,5939.01
693,Dacia,2015,91000,5939.01
694,Peugeot,2015,94751,5939.01
695,Renault,2015,32000,5939.01
696,Mitsubishi,2015,30000,5939.01
697,Ford,2015,54777,5939.01
698,Volkswagen,2015,85675,5939.01
699,Skoda,2015,118000,5940.0
700,Ford,2015,54500,6039.0
701,Opel,2015,43447,6039.0
702,Nissan,2015,79100,6137.01
703,smart,2015,44849,6138.0
704,Volkswagen,2016,50423,34473.78
705,Volkswagen,2016,72072,34473.78
706,Volkswagen,2016,52916,34473.78
707,Volkswagen,2016,59950,34473.78
708,Volkswagen,2016,44615,34473.78
709,Volkswagen,2016,94250,34473.78
710,Volkswagen,2016,86600,34473.78
711,Volkswagen,2016,36409,35419.23
712,Volkswagen,2016,108320,35518.23
713,Mercedes-Benz,2016,58300,37521.0
714,Volkswagen,2016,61411,43449.12
715,Audi,2016,16010,44004.51
716,Mercedes-Benz,2016,99989,49499.01
717,Maserati,2016,35800,108365.4
718,Bentley,2016,65500,121275.0
719,Opel,2016,171000,3266.0099999999998
720,Skoda,2016,152612,3761.0099999999998
721,Mercedes-Benz,2016,426000,4207.5
722,Dacia,2016,98280,4356.0
723,Dacia,2016,137000,4445.1
724,Opel,2018,75419,13850.1
725,Ford,2018,24415,13850.1
726,Hyundai,2018,35000,14305.5
727,Volkswagen,2018,150000,14364.9
728,Toyota,2018,16900,15741.0
729,Volkswagen,2018,83526,15790.5
730,MINI,2018,65478,15839.01
731,BMW,2018,82800,16137.0
732,Opel,2018,10448,16622.1
733,Audi,2018,54900,16731.0
734,Volkswagen,2018,92435,16780.5
735,Hyundai,2018,20647,16820.1
736,Toyota,2018,37000,17721.0
737,Audi,2018,66000,17810.1
738,Volkswagen,2018,15878,18265.5
739,Opel,2018,8982,18513.0
740,Volkswagen,2018,60150,18760.5
741,Volkswagen,2018,64424,19255.5
742,MINI,2018,25587,19304.01
743,SEAT,2018,35990,19354.5
744,Volvo,2019,14175,47421.0
745,Mercedes-Benz,2019,43701,47995.2
746,Mercedes-Benz,2019,5526,48797.1
747,Ford,2019,25000,49744.53
748,Volvo,2019,25531,51252.3
749,Audi,2019,16203,51648.3
750,Audi,2019,130,51905.7
751,Audi,2019,6897,53905.5
752,Audi,2019,29900,56380.5
753,Porsche,2019,30225,59301.0
754,Audi,2019,6752,60340.5
755,Audi,2019,17480,60975.09
756,Audi,2019,25500,64239.12
757,Audi,2019,18319,66082.5
758,Audi,2019,15186,66805.2
759,Audi,2019,5715,69299.01
760,Volkswagen,2019,7146,77180.4
761,Mercedes-Benz,2019,9987,81467.1
762,Porsche,2019,24117,85041.0
763,Mercedes-Benz,2019,2267,86016.15
764,Volvo,2020,20683,33442.2
765,Skoda,2020,16162,33502.59
